"serviceName","displayName","type","state"
"ProfSvc","User Profile Service","WIN32","RUNNING"
"QWAVE","Quality Windows Audio Video Experience","WIN32","RUNNING"
"RabbitMQ","RabbitMQ","WIN32_OWN_PROCESS","RUNNING"
"RasMan","Remote Access Connection Manager","WIN32_SHARE_PROCESS","RUNNING"
"RmSvc","Radio Management Service","WIN32","RUNNING"
"RpcEptMapper","RPC Endpoint Mapper","WIN32_SHARE_PROCESS","RUNNING"
"RpcSs","Remote Procedure Call (RPC)","WIN32_SHARE_PROCESS","RUNNING"
"RstMwService","Intel(R) Storage Middleware Service","WIN32_OWN_PROCESS","RUNNING"
"RtkAudioUniversalService","Realtek Audio Universal Service","WIN32_OWN_PROCESS","RUNNING"
"SamSs","Security Accounts Manager","WIN32_SHARE_PROCESS","RUNNING"
"Schedule","Task Scheduler","WIN32","RUNNING"
"SecurityHealthService","Windows Security Service","WIN32_OWN_PROCESS","RUNNING"
"SENS","System Event Notification Service","WIN32","RUNNING"
"SensorService","Sensor Service","WIN32","RUNNING"
"SensrSvc","Sensor Monitoring Service","WIN32","RUNNING"
"SgrmBroker","System Guard Runtime Monitor Broker","WIN32_OWN_PROCESS","RUNNING"
"SharedAccess","Internet Connection Sharing (ICS)","WIN32","RUNNING"
"ShellHWDetection","Shell Hardware Detection","WIN32","RUNNING"
"Spooler","Print Spooler","WIN32_OWN_PROCESS  (interactive)","RUNNING"
"SSDPSRV","SSDP Discovery","WIN32","RUNNING"
"SstpSvc","Secure Socket Tunneling Protocol Service","WIN32","RUNNING"
"StateRepository","State Repository Service","WIN32","RUNNING"
"StiSvc","Windows Image Acquisition (WIA)","WIN32_OWN_PROCESS","RUNNING"
"StorSvc","Storage Service","WIN32","RUNNING"
"SysMain","SysMain","WIN32","RUNNING"
"SystemEventsBroker","System Events Broker","WIN32_SHARE_PROCESS","RUNNING"
"TabletInputService","Touch Keyboard and Handwriting Panel Service","WIN32","RUNNING"
"TbtP2pShortcutService","Thunderbolt(TM) Peer to Peer Shortcut","WIN32_OWN_PROCESS","RUNNING"
"Themes","Themes","WIN32","RUNNING"
"TimeBrokerSvc","Time Broker","WIN32","RUNNING"
"TISmartAmpService","TI SmartAmp Service","WIN32_OWN_PROCESS","RUNNING"
"TokenBroker","Web Account Manager","WIN32","RUNNING"
"TrkWks","Distributed Link Tracking Client","WIN32","RUNNING"
"UDCService","Universal Device Client Service","WIN32_OWN_PROCESS","RUNNING"
"UserManager","User Manager","WIN32","RUNNING"
"UsoSvc","Update Orchestrator Service","WIN32","RUNNING"
"VaultSvc","Credential Manager","WIN32_SHARE_PROCESS","RUNNING"
"vmcompute","Hyper-V Host Compute Service","WIN32_OWN_PROCESS","RUNNING"
"Wcmsvc","Windows Connection Manager","WIN32_OWN_PROCESS","RUNNING"
"WdiSystemHost","Diagnostic System Host","WIN32","RUNNING"
"WdNisSvc","Microsoft Defender Antivirus Network Inspection Service","WIN32_OWN_PROCESS","RUNNING"
"WinDefend","Microsoft Defender Antivirus Service","WIN32_OWN_PROCESS","RUNNING"
"WinHttpAutoProxySvc","WinHTTP Web Proxy Auto-Discovery Service","WIN32","RUNNING"
"Winmgmt","Windows Management Instrumentation","WIN32","RUNNING"
"WlanSvc","WLAN AutoConfig","WIN32_OWN_PROCESS","RUNNING"
"wlidsvc","Microsoft Account Sign-in Assistant","WIN32","RUNNING"
"WpnService","Windows Push Notifications System Service","WIN32","RUNNING"
"wscsvc","Security Center","WIN32","RUNNING"
"WSearch","Windows Search","WIN32_OWN_PROCESS","RUNNING"
"WTabletServiceISD","Wacom ISD Service","WIN32_OWN_PROCESS","RUNNING"
"YMC","YMC","WIN32_OWN_PROCESS","RUNNING"
"AarSvc_51d1f","AarSvc_51d1f","ERROR","RUNNING"
"BluetoothUserService_51d1f","BluetoothUserService_51d1f","ERROR","RUNNING"
"cbdhsvc_51d1f","cbdhsvc_51d1f","ERROR","RUNNING"
"CDPUserSvc_51d1f","CDPUserSvc_51d1f","ERROR","RUNNING"
"NPSMSvc_51d1f","NPSMSvc_51d1f","ERROR","RUNNING"
"OneSyncSvc_51d1f","OneSyncSvc_51d1f","USER_SHARE_PROCESS INSTANCE","RUNNING"
"PenService_51d1f","PenService_51d1f","ERROR","RUNNING"
"PimIndexMaintenanceSvc_51d1f","PimIndexMaintenanceSvc_51d1f","USER_SHARE_PROCESS INSTANCE","RUNNING"
"UdkUserSvc_51d1f","UdkUserSvc_51d1f","ERROR","RUNNING"
"UnistoreSvc_51d1f","UnistoreSvc_51d1f","USER_SHARE_PROCESS INSTANCE","RUNNING"
"UserDataSvc_51d1f","UserDataSvc_51d1f","USER_SHARE_PROCESS INSTANCE","RUNNING"
"WpnUserService_51d1f","WpnUserService_51d1f","ERROR","RUNNING"
